130273,12
205011,34
27440,12
34209,12
260191,4
93892,12
7607,12
156766,4
98648,12
162395,12
11684,4
86932,12
244309,12
236906,12
227314,6
32242,12
208124,4
136670,12
131786,12
250410,34
159681,12
29748,8
78761,12
192321,12
257128,12
12855,52
152152,4
133081,9
51099,12
146918,12
46174,12
184124,4
84768,12
69155,9
84816,12
39335,4
183380,12
53171,12
168010,12
247247,12
154675,4
50745,12
12349,4
86785,9
241595,4
83687,12
33424,12
185155,12
104317,4
221720,12
23072,9
25271,12
249104,12
71434,12
38046,4
126615,4
258008,12
81383,8
131897,12
145349,55
128906,24
104238,4
52703,14
92914,4
168276,26
45961,12
122027,12
11800,4
94800,12
162856,34
244071,8
130914,12
100583,12
94841,4
110414,0
12453,12
203805,12
40864,12
19288,8
48573,12
43744,12
160714,12
30321,19
120393,12
132557,12
145160,8
14082,12
184174,3
78820,0
200445,12
80191,8
257681,12
129722,34
104877,28
217392,4
144620,12
207731,4
86578,12
188339,12
152493,12
100691,12
198285,12
113623,12
208770,4
43522,12
79774,12
105243,12
159692,8
31765,12
123602,11
145337,34
71213,29
42664,8
122195,12
211290,33
169761,12
46175,14
203215,12
207343,0
28907,14
54821,12
187582,12
134719,12
145920,12
88797,17
160526,4
109894,10
102984,12
181905,14
36555,12
126699,12
94084,11
180469,12
73226,12
40292,4
193815,3
144960,12
224995,8
112711,8
27008,26
119148,8
176307,12
60588,12
114692,12
32537,11
27006,12
31097,12
30975,12
117517,12
119223,12
5436,10
60255,4
45793,12
141887,4
55308,12
158670,12
198889,9
160555,34
170469,4
107743,12
180101,4
90644,12
29365,10
28481,4
128077,12
129754,46
109513,14
61261,52
10958,14
251918,12
104413,12
125069,12
18342,14
51062,7
11019,6
209356,12
7419,12
59989,8
51266,14
233845,14
244722,46
184310,11
248149,12
225158,12
240814,12
178584,12
21315,4
258259,9
60666,8
110094,12
74320,6
187284,12
169420,4
144738,12
131686,12
227377,26
234543,11
124780,12
239,12
91018,8
86402,12
170887,4
211512,12
226935,12
108396,34
21717,14
5578,12
108069,4
202912,12
87034,12
241058,11
222434,4
255585,12
175671,34
54646,10
26251,12
140345,14
30237,11
136513,12
212159,4
246887,4
129528,12
176503,12
105250,12
16934,12
110485,12
128909,26
260039,12
243845,7
65220,8
58471,12
133904,62
217535,12
250537,4
146410,12
146294,4
